team,team_code,association,team_rank,previous_rank
Brazil,BRA,CONMEBOL,1,1
Belgium,BEL,UEFA,2,2
Argentina,ARG,CONMEBOL,3,3
France,FRA,UEFA,4,4
England,ENG,UEFA,5,5
Italy,ITA,UEFA,6,7
Spain,ESP,UEFA,7,6
Netherlands,NED,UEFA,8,8
Portugal,POR,UEFA,9,9
Denmark,DEN,UEFA,10,10
Germany,GER,UEFA,11,11
Croatia,CRO,UEFA,12,15
Mexico,MEX,CONCACAF,13,12
Uruguay,URU,CONMEBOL,14,13
Switzerland,SUI,UEFA,15,16
USA,USA,CONCACAF,16,14
Colombia,COL,CONMEBOL,17,17
Senegal,SEN,CAF,18,18
Wales,WAL,UEFA,19,19
IR Iran,IRN,AFC,20,22
Serbia,SRB,UEFA,21,25
Morocco,MAR,CAF,22,23
Peru,PER,CONMEBOL,23,21
Japan,JPN,AFC,24,24
Sweden,SWE,UEFA,25,20
Poland,POL,UEFA,26,26
Ukraine,UKR,UEFA,27,27
Korea Republic,KOR,AFC,28,28
Chile,CHI,CONMEBOL,29,29
Tunisia,TUN,CAF,30,30
Costa Rica,CRC,CONCACAF,31,34
Nigeria,NGA,CAF,32,31
Russia,RUS,UEFA,33,35
Austria,AUT,UEFA,34,33
Czechia,CZE,UEFA,35,32
Hungary,HUN,UEFA,36,37
Algeria,ALG,CAF,37,41
Australia,AUS,AFC,38,39
Egypt,EGY,CAF,39,40
Scotland,SCO,UEFA,40,45
Canada,CAN,CONCACAF,41,43
Norway,NOR,UEFA,42,36
Cameroon,CMR,CAF,43,38
Ecuador,ECU,CONMEBOL,44,44
Türkiye,TUR,UEFA,45,42
Mali,MLI,CAF,46,46
Paraguay,PAR,CONMEBOL,47,50
Côte d'Ivoire,CIV,CAF,48,52
Republic of Ireland,IRL,UEFA,49,47
Qatar,QAT,AFC,50,48
Saudi Arabia,KSA,AFC,51,53
Greece,GRE,UEFA,52,49
Romania,ROU,UEFA,53,54
Burkina Faso,BFA,CAF,54,55
Slovakia,SVK,UEFA,55,51
Finland,FIN,UEFA,56,59
Venezuela,VEN,CONMEBOL,57,56
Bosnia and Herzegovina,BIH,UEFA,58,57
Northern Ireland,NIR,UEFA,59,58
Panama,PAN,CONCACAF,60,61
Ghana,GHA,CAF,61,60
Iceland,ISL,UEFA,62,63
Slovenia,SVN,UEFA,63,65
Jamaica,JAM,CONCACAF,64,62
North Macedonia,MKD,UEFA,65,64
Albania,ALB,UEFA,66,66
South Africa,RSA,CAF,67,68
Iraq,IRQ,AFC,68,70
Montenegro,MNE,UEFA,69,67
United Arab Emirates,UAE,AFC,70,69
Cabo Verde,CPV,CAF,71,73
Bulgaria,BUL,UEFA,72,74
Congo DR,COD,CAF,73,72
El Salvador,SLV,CONCACAF,74,71
Oman,OMA,AFC,75,75
Israel,ISR,UEFA,76,76
Uzbekistan,UZB,AFC,77,77
Georgia,GEO,UEFA,78,82
China PR,CHN,AFC,79,78
Honduras,HON,CONCACAF,80,80
Gabon,GAB,CAF,81,79
Bolivia,BOL,CONMEBOL,82,81
Guinea,GUI,CAF,83,83
Jordan,JOR,AFC,84,86
Bahrain,BHR,AFC,85,85
Curaçao,CUW,CONCACAF,86,84
Haiti,HAI,CONCACAF,87,88
Zambia,ZAM,CAF,88,87
Uganda,UGA,CAF,89,90
Syria,SYR,AFC,90,89
Benin,BEN,CAF,91,91
Luxembourg,LUX,UEFA,92,93
Armenia,ARM,UEFA,93,92
Palestine,PLE,AFC,94,94
Kyrgyz Republic,KGZ,AFC,95,95
Vietnam,VIE,AFC,96,97
Belarus,BLR,UEFA,97,96
Equatorial Guinea,EQG,CAF,98,98
Lebanon,LBN,AFC,99,100
Congo,CGO,CAF,100,99
Kenya,KEN,CAF,101,102
Madagascar,MAD,CAF,102,105
Mauritania,MTN,CAF,103,107
Trinidad and Tobago,TRI,CONCACAF,104,101
New Zealand,NZL,OFC,105,103
India,IND,AFC,106,104
Kosovo,KOS,UEFA,107,106
Tajikistan,TJK,AFC,108,109
Estonia,EST,UEFA,109,110
Cyprus,CYP,UEFA,110,108
Thailand,THA,AFC,111,111
Korea DPR,PRK,AFC,112,112
Kazakhstan,KAZ,UEFA,113,114
Mozambique,MOZ,CAF,114,116
Namibia,NAM,CAF,115,117
Guinea-Bissau,GNB,CAF,116,115
Sierra Leone,SLE,CAF,117,113
Guatemala,GUA,CONCACAF,118,118
Angola,ANG,CAF,119,120
Libya,LBY,CAF,120,121
Niger,NIG,CAF,121,119
Faroe Islands,FRO,UEFA,122,125
Azerbaijan,AZE,UEFA,123,128
Malawi,MWI,CAF,124,122
Zimbabwe,ZIM,CAF,125,123
The Gambia,GAM,CAF,126,124
Togo,TOG,CAF,127,126
Sudan,SDN,CAF,128,130
Comoros,COM,CAF,129,127
Tanzania,TAN,CAF,130,131
Antigua and Barbuda,ATG,CONCACAF,131,132
Central African Republic,CTA,CAF,132,133
Philippines,PHI,AFC,133,134
Latvia,LVA,UEFA,134,129
Turkmenistan,TKM,AFC,135,135
Solomon Islands,SOL,OFC,136,137
Rwanda,RWA,CAF,137,136
Ethiopia,ETH,CAF,138,138
